no,area,genre,name,is_large_store,ticket_type,map_query
1,国分,美容・理容,アートアビリ美容室,False,全券利用可（14枚）,アートアビリ美容室 霧島市 国分
2,国分,その他,R.R.R.,False,全券利用可（14枚）,R.R.R. 霧島市 国分
3,国分,サービス,あいら農業協同組合 本所,False,全券利用可（14枚）,あいら農業協同組合 本所 霧島市 国分
4,国分,サービス,あいら農業協同組合 国分購買店舗,False,全券利用可（14枚）,あいら農業協同組合 国分購買店舗 霧島市 国分
5,国分,整体・整骨・リラクゼーション,あおい整骨院,False,全券利用可（14枚）,あおい整骨院 霧島市 国分
6,国分,整体・整骨・リラクゼーション,あおい整骨院 国分中央院,False,全券利用可（14枚）,あおい整骨院 国分中央院 霧島市 国分
7,国分,衣料・靴・メガネ,AOKI 霧島国分店,False,全券利用可（14枚）,AOKI 霧島国分店 霧島市 国分
8,国分,カフェ・スイーツ,Aomi Cafe,False,全券利用可（14枚）,Aomi Cafe 霧島市 国分
9,国分,その他,ao-ya apartment store,False,全券利用可（14枚）,ao-ya apartment store 霧島市 国分
10,国分,その他,赤から 霧島店,False,全券利用可（14枚）,赤から 霧島店 霧島市 国分
11,国分,その他,赤ちょうちん真心,False,全券利用可（14枚）,赤ちょうちん真心 霧島市 国分
12,国分,雑貨・花・ギフト,赤塚屋百貨店,False,全券利用可（14枚）,赤塚屋百貨店 霧島市 国分
13,国分,交通・代行,旭交通,False,全券利用可（14枚）,旭交通 霧島市 国分
14,国分,雑貨・花・ギフト,アトリエ空,False,全券利用可（14枚）,アトリエ空 霧島市 国分
15,国分,衣料・靴・メガネ,Avail 国分西店,True,共通券のみ（7枚まで）,Avail 国分西店 霧島市 国分
16,国分,その他,ABE之屋308,False,全券利用可（14枚）,ABE之屋308 霧島市 国分
17,国分,美容・理容,Alice Beauty＋ エルグテクノサロン,False,全券利用可（14枚）,Alice Beauty＋ エルグテクノサロン 霧島市 国分
18,国分,その他,アロマショップ Neuna,False,全券利用可（14枚）,アロマショップ Neuna 霧島市 国分
19,国分,その他,アワーズ,False,全券利用可（14枚）,アワーズ 霧島市 国分
20,国分,その他,andot.,False,全券利用可（14枚）,andot. 霧島市 国分
21,国分,美容・理容,アントテン ヘア＆コム,False,全券利用可（14枚）,アントテン ヘア＆コム 霧島市 国分
22,国分,住宅・工務店・設備,イージーライダーハウス,False,全券利用可（14枚）,イージーライダーハウス 霧島市 国分
